ID,Species Name
13066,Agonomalus proboscidalis
62091,Agonopsis asperoculis
12932,Agonopsis chiloensis
4151,Agonopsis sterletus
4152,Agonopsis vulsa
61407,Agonostomus catalai
7860,Agonostomus telfairii
36,Agonus cataphractus
2742,Agosia chrysogaster
16851,Agrostichthys parkeri
52328,Aguarunichthys inpai
52326,Aguarunichthys tocantinsensis
48583,Aguarunichthys torosus
2633,Ahlia egmontis
9155,Ahliesaurus berryi
22983,Ahliesaurus brevis
47911,Aiakas kreffti
47912,Aiakas zinorum
25971,Aidablennius sphynx
13334,Ailia coila
24749,Ailiichthys punctata
59224,Aioliops brachypterus
59225,Aioliops megastigma
27609,Aioliops novaeguineae
60866,Aioliops tetrophthalmus
7093,Akarotaxis nudiceps
67374,Akawaio penak
69495,Akheilos suwartanai
63909,Akihito futuna
63910,Akihito vanuatu
54387,Akko brevis
56506,Akko dionaea
62085,Akko rossi
51454,Akrokolioplax bicornis
66310,Akysis bilustris
54773,Akysis brachybarbatus
62037,Akysis clavulus
62564,Akysis clinatus
52539,Akysis ephippifer
64889,Akysis fontaneus
62565,Akysis fuliginatus
64033,Akysis galeatus
26974,Akysis hendricksoni
27400,Akysis heterurus
62593,Akysis longifilis
26747,Akysis maculipinnis
60651,Akysis manipurensis
58042,Akysis microps
24796,Akysis pictus
64863,Akysis portellus
24798,Akysis prashadi
63540,Akysis pulvinatus
52542,Akysis recavus
64032,Akysis scorteus
23309,Akysis variegatus
52544,Akysis varius
62235,Akysis vespa
64791,Akysis vespertinus
64541,Alabes bathys
55697,Alabes brevis
51362,Alabes dorsalis
62615,Alabes elongata
62616,Alabes gibbosa
51367,Alabes hoesei
62634,Alabes obtusirostris
62635,Alabes occidentalis
27497,Alabes parvula
62638,Alabes scotti
64542,Alabes springeri
8435,Albatrossia pectoralis
58326,Albula argentea
65525,Albula esuncula
66312,Albula gilberti
11512,Albula glossodonta
67597,Albula goreensis
66113,Albula koreana
7334,Albula nemoptera
63907,Albula oligolepis
67476,Albula pacifica
63908,Albula virgata
228,Albula vulpes
17361,Albulichthys albuloides
4875,Alburnoides bipunctatus
67866,Alburnoides coadi
65852,Alburnoides devolli
68486,Alburnoides economoui
65180,Alburnoides eichwaldii
67278,Alburnoides emineae
65851,Alburnoides fangfangae
65181,Alburnoides fasciatus
68533,Alburnoides freyhofi
65149,Alburnoides gmelini
66834,Alburnoides holciki
65154,Alburnoides idignensis
